iter	Passed	Remaining
0	168	168425
1	179	89681
2	190	63245
3	201	50049
4	210	41940
5	220	36608
6	232	32981
7	242	30083
8	251	27684
9	262	25994
10	275	24753
11	285	23531
12	295	22466
13	304	21475
14	316	20763
15	330	20316
16	339	19641
17	348	18999
18	356	18431
19	366	17945
20	375	17490
21	383	17057
22	392	16688
23	402	16349
24	410	16018
25	418	15675
26	425	15333
27	433	15042
28	440	14741
29	447	14484
30	454	14221
31	461	13972
32	469	13751
33	475	13523
34	483	13317
35	492	13187
36	500	13017
37	507	12838
38	514	12680
39	522	12551
40	531	12440
41	541	12347
42	549	12234
43	557	12117
44	566	12030
45	573	11901
46	581	11792
47	589	11689
48	598	11615
49	605	11506
50	614	11438
51	622	11343
52	630	11262
53	637	11164
54	645	11083
55	652	11004
56	660	10920
57	667	10842
58	675	10778
59	684	10722
60	691	10644
61	698	10574
62	705	10499
63	713	10440
64	722	10393
65	733	10374
66	741	10324
67	750	10291
68	760	10262
69	767	10194
70	774	10131
71	780	10064
72	787	9994
73	794	9936
74	801	9880
75	808	9823
76	814	9765
77	820	9701
78	827	9650
79	833	9588
80	839	9530
81	846	9475
82	852	9419
83	859	9367
84	865	9312
85	871	9260
86	878	9216
87	884	9162
88	891	9128
89	897	9074
90	903	9020
91	908	8971
92	914	8919
93	920	8869
94	926	8824
95	931	8771
96	937	8726
97	946	8715
98	952	8667
99	957	8618
100	962	8569
101	967	8521
102	973	8479
103	979	8439
104	986	8409
105	992	8373
106	998	8333
107	1005	8303
108	1011	8264
109	1017	8232
110	1023	8193
111	1028	8154
112	1034	8119
113	1040	8084
114	1045	8048
115	1051	8015
116	1058	7985
117	1064	7957
118	1072	7937
119	1079	7913
120	1087	7897
121	1094	7873
122	1101	7854
123	1108	7830
124	1115	7810
125	1122	7787
126	1129	7767
127	1137	7746
128	1143	7722
129	1151	7708
130	1159	7688
131	1166	7667
132	1172	7642
133	1178	7616
134	1185	7594
135	1191	7572
136	1198	7550
137	1204	7524
138	1210	7495
139	1216	7471
140	1221	7443
141	1227	7418
142	1233	7394
143	1240	7373
